plot_size_sqft,building_size_sqft,num_floors,budget_amount,budget_per_sqft,plot_shape_code,topography_code,num_bedrooms,num_bathrooms,total_rooms,design_style_code,customization_level,design_complexity_score,development_constraint_level,kerala_district_code,construction_start_month,monsoon_exposure_score,district_risk_tier,terrain_code,rainfall_code,flood_risk_code,effective_monsoon_score,cost_overrun_risk
1360,3654,3,18489240,5060,1,3,4,4,10,3,3,15,3,6,11,0.0889,0,3,2,2,0.0889,2
3722,3874,5,26994032,6968,0,1,2,1,5,3,5,18,0,6,7,0.6778,0,2,2,2,0.6778,2
2353,2236,3,6985264,3124,0,1,1,2,5,0,5,17,2,12,1,0.1667,0,2,2,1,0.1667,1
1876,2115,2,10384650,4910,3,2,2,1,5,1,1,8,1,1,2,0.3333,0,1,2,0,0.3333,1
2131,3745,2,6782195,1811,1,2,1,3,6,2,4,14,3,0,4,0.6667,0,2,1,1,0.4667,2
4196,3683,1,6434201,1747,3,1,1,1,4,2,1,5,2,7,9,0.3444,0,2,2,1,0.3444,1
3072,3060,4,2047140,669,1,3,3,4,9,1,2,15,0,4,12,0.0,1,1,2,0,0.0,2
3163,3821,3,20889407,5467,1,1,1,3,6,1,2,11,2,0,9,0.3444,0,0,1,0,0.2411,1
4770,403,1,1963819,4873,1,3,3,2,7,1,0,5,1,7,7,0.6778,0,0,2,0,0.6778,1
1741,3283,3,25909436,7892,3,0,1,4,7,3,0,6,1,9,1,0.1667,0,2,2,1,0.1667,1
2626,2706,1,2511168,928,1,1,2,1,5,3,1,5,3,2,9,0.3444,1,1,2,1,0.3444,2
3432,3224,3,11799840,3660,2,3,3,2,7,1,0,9,0,10,12,0.0,0,2,2,1,0.0,1
3235,1970,1,8967440,4552,3,3,4,4,10,1,4,13,3,10,10,0.1778,0,4,2,0,0.1778,1
3498,3850,2,5470850,1421,1,3,5,2,9,0,0,7,1,10,5,0.7556,0,0,2,0,0.7556,1
2790,1392,1,3065184,2202,0,0,2,2,6,2,4,10,3,2,7,0.6778,1,4,2,0,0.6778,2
2635,877,3,2645032,3016,3,0,1,1,4,1,4,14,0,9,2,0.3333,0,0,2,1,0.3333,1
2465,3312,5,3739248,1129,2,2,5,4,11,3,3,18,3,6,7,0.6778,0,2,2,2,0.6778,2
694,3074,3,5576236,1814,3,3,3,3,8,1,4,17,3,1,12,0.0,0,1,2,0,0.0,1
945,2749,3,6451903,2347,3,1,6,2,10,0,0,7,0,0,11,0.0889,0,0,1,0,0.0622,0
3535,2263,2,4102819,1813,0,3,2,1,5,2,5,17,2,9,12,0.0,0,1,2,0,0.0,1
4076,3817,4,10309717,2701,1,2,1,3,6,0,5,18,2,2,8,0.5111,1,4,2,0,0.5111,2
4107,2760,5,21216120,7687,1,0,4,1,7,2,1,12,2,12,5,0.7556,0,0,2,0,0.7556,2
1554,1275,3,2122875,1665,2,1,1,3,6,3,3,13,1,0,4,0.6667,0,4,2,0,0.6667,2
2803,1892,1,4094288,2164,2,0,1,1,4,3,3,8,1,10,7,0.6778,0,2,2,1,0.6778,2
1589,2662,3,4706416,1768,2,3,6,4,12,2,5,18,0,7,4,0.6667,0,1,2,0,0.6667,2
3657,593,4,688473,1161,0,1,6,3,11,1,3,15,0,4,1,0.1667,1,3,2,2,0.1667,2
4051,2534,4,894502,353,3,1,5,4,11,2,0,9,0,2,3,0.5,1,5,3,0,0.65,2
3910,3700,3,12613300,3409,2,0,2,3,7,3,5,16,3,10,11,0.0889,0,0,2,0,0.0889,1
1422,1343,2,5936060,4420,2,1,1,3,6,2,4,13,2,1,11,0.0889,0,1,2,0,0.0889,1
4194,1145,2,2121685,1853,2,2,4,4,10,2,4,14,0,5,7,0.6778,2,5,3,0,0.8811,2
1987,1703,1,7290543,4281,1,1,3,2,7,3,0,3,1,0,3,0.5,0,1,1,0,0.35,1
1901,3706,4,3828298,1033,1,1,5,2,9,0,4,17,2,10,6,0.8444,0,4,2,0,0.8444,2
2222,741,5,2371941,3201,2,0,6,3,11,2,1,12,3,7,6,0.8444,0,2,2,1,0.8444,2
3281,1999,2,3348325,1675,3,1,1,3,6,2,4,13,3,9,1,0.1667,0,1,2,0,0.1667,1
1736,586,3,1146802,1957,1,1,6,2,10,2,4,15,3,2,1,0.1667,1,1,2,1,0.1667,2
1081,2648,2,1933040,730,1,0,1,4,7,0,0,4,0,6,9,0.3444,0,2,2,2,0.3444,1
4169,1652,4,6641040,4020,3,2,6,2,10,1,3,16,2,4,10,0.1778,1,0,2,1,0.1778,2
4707,1741,3,5202108,2988,3,2,1,3,6,0,4,16,1,7,12,0.0,0,4,3,0,0.0,1
646,3759,2,3484593,927,3,2,2,1,5,0,5,16,1,4,2,0.3333,1,5,3,0,0.4333,2
2121,1226,5,1984894,1619,1,2,4,3,9,1,2,16,1,6,8,0.5111,0,1,2,0,0.5111,2
730,3252,3,20972148,6449,3,1,4,3,9,2,0,7,3,10,4,0.6667,0,4,2,0,0.6667,2
1731,3341,2,1095848,328,2,2,2,2,6,1,2,10,2,1,4,0.6667,0,4,2,0,0.6667,2
2632,876,5,3985800,4550,3,0,4,3,9,3,0,10,1,0,4,0.6667,0,1,1,0,0.4667,2
4100,1565,2,7408710,4734,3,1,5,1,8,1,0,5,0,13,5,0.7556,0,0,2,0,0.7556,1
2641,2228,5,14691432,6594,0,2,6,3,11,3,5,18,3,6,8,0.5111,0,0,2,1,0.5111,2
1484,3714,5,1285044,346,1,1,2,1,5,2,1,13,0,1,10,0.1778,0,3,2,2,0.1778,2
1326,3136,1,27628160,8810,2,3,1,1,4,1,2,9,1,6,6,0.8444,0,4,2,0,0.8444,2
4669,1180,5,2617240,2218,2,0,4,2,8,0,4,18,1,6,5,0.7556,0,0,2,1,0.7556,2
1955,569,1,2347125,4125,2,3,5,3,10,0,2,9,1,5,4,0.6667,2,5,3,0,0.8667,2
1513,853,5,5413138,6346,3,3,4,1,7,0,4,18,0,0,11,0.0889,0,1,1,0,0.0622,1
2191,3511,2,23537744,6704,3,2,5,1,8,0,5,16,3,10,8,0.5111,0,1,2,0,0.5111,2
962,3004,1,16296700,5425,0,1,3,2,7,3,3,9,2,11,12,0.0,2,5,3,0,0.0,2
3319,2810,5,1275740,454,1,2,2,4,8,2,1,14,1,9,3,0.5,0,0,2,1,0.5,2
1736,1656,1,3300408,1993,3,2,4,4,10,1,4,12,2,1,3,0.5,0,2,2,1,0.5,2
4502,1835,4,6270195,3417,2,1,5,2,9,0,3,15,3,8,1,0.1667,0,0,0,0,0.0667,1
1485,3152,2,1046464,332,3,2,2,2,6,1,4,14,3,9,2,0.3333,0,4,2,0,0.3333,2
4599,3394,3,6095624,1796,1,2,2,2,6,1,1,10,0,12,2,0.3333,0,1,2,0,0.3333,1
2804,1498,4,1527960,1020,3,1,6,4,12,2,5,18,2,3,12,0.0,1,3,2,2,0.0,2
4626,483,3,2797053,5791,0,0,3,1,6,2,1,8,3,9,10,0.1778,0,0,2,1,0.1778,1
2409,1694,4,2029412,1198,3,2,4,2,8,3,0,10,0,0,2,0.3333,0,1,1,0,0.2333,1
1559,2363,5,10073469,4263,3,3,3,4,9,1,5,18,2,6,2,0.3333,0,0,2,1,0.3333,2
1120,2101,1,1203873,573,3,2,6,1,9,1,4,12,1,10,4,0.6667,0,0,2,0,0.6667,2
2613,1743,2,6293973,3611,1,2,6,4,12,2,2,10,0,9,12,0.0,0,1,2,0,0.0,1
2176,2848,4,1492352,524,0,1,6,2,10,3,3,15,3,4,10,0.1778,1,0,2,1,0.1778,2
3448,2168,5,5647640,2605,1,0,4,2,8,0,5,18,2,1,7,0.6778,0,1,2,0,0.6778,2
1486,827,1,3131849,3787,3,2,3,3,8,0,5,14,0,12,1,0.1667,0,0,2,0,0.1667,1
4511,2113,4,4542950,2150,1,3,3,3,8,1,2,15,3,7,8,0.5111,0,1,2,0,0.5111,2
4709,1370,2,6652720,4856,1,3,4,1,7,2,0,7,0,7,4,0.6667,0,2,2,1,0.6667,2
2935,706,4,1019464,1444,1,1,3,2,7,1,4,17,3,6,6,0.8444,0,0,2,1,0.8444,2
952,1302,4,619752,476,0,1,2,1,5,0,3,15,0,4,4,0.6667,1,0,2,1,0.6667,2
1873,3588,2,2999568,836,3,3,2,4,8,1,5,17,2,3,8,0.5111,1,1,2,1,0.5111,2
1129,2468,1,4945872,2004,2,1,4,4,10,3,5,13,2,7,4,0.6667,0,2,2,1,0.6667,2
2965,1925,4,4335100,2252,0,2,1,4,7,1,1,12,2,1,5,0.7556,0,4,2,0,0.7556,2
4956,2446,1,4552006,1861,3,3,4,1,7,3,2,9,1,0,2,0.3333,0,1,1,0,0.2333,1
4032,1680,5,3741360,2227,3,3,4,1,7,2,0,13,3,4,4,0.6667,1,5,3,0,0.8667,2
2812,2752,1,2454784,892,3,3,4,3,9,3,5,15,3,6,1,0.1667,0,4,2,0,0.1667,2
1643,681,5,531180,780,0,2,6,1,9,2,4,18,2,4,6,0.8444,1,1,2,0,0.8444,2
2889,1639,3,3797563,2317,2,1,1,2,5,1,4,15,0,7,3,0.5,0,2,2,1,0.5,2
4523,2598,5,13210830,5085,3,3,2,4,8,1,1,15,0,0,9,0.3444,0,1,1,0,0.2411,1
1798,3664,2,21298832,5813,2,1,2,2,6,1,0,5,1,10,7,0.6778,0,2,2,1,0.6778,2
3672,3618,5,6103566,1687,3,0,2,2,6,0,3,16,1,13,1,0.1667,0,1,2,0,0.1667,1
3232,3036,1,10170600,3350,2,3,5,2,9,1,5,15,3,8,10,0.1778,0,4,1,0,0.1245,1
1988,1754,1,4279760,2440,3,1,1,1,4,1,0,3,3,7,7,0.6778,0,0,2,0,0.6778,2
1335,3968,3,31200384,7863,3,1,3,3,8,1,5,17,1,7,5,0.7556,0,0,2,0,0.7556,2
3101,2347,5,9033603,3849,0,1,4,1,7,0,1,13,3,7,7,0.6778,0,2,2,1,0.6778,2
3145,2811,3,2080140,740,2,0,3,3,8,0,4,14,3,12,8,0.5111,0,0,2,0,0.5111,2
1563,3455,5,5486540,1588,3,1,5,3,10,2,3,17,2,7,1,0.1667,0,1,2,0,0.1667,1
2737,3816,3,3949560,1035,2,2,2,3,7,3,4,16,2,8,2,0.3333,0,1,1,0,0.2333,2
2075,2198,1,1336384,608,3,3,2,3,7,0,2,9,0,7,11,0.0889,0,4,3,0,0.1156,1
609,1383,2,3658035,2645,0,0,1,2,5,1,2,8,0,4,9,0.3444,1,3,2,2,0.3444,1
3640,1862,2,6492794,3487,0,2,3,4,9,0,1,8,0,2,1,0.1667,1,1,2,1,0.1667,1
2146,1049,1,1716164,1636,1,0,1,2,5,0,0,2,1,3,8,0.5111,1,2,2,2,0.5111,2
4608,2906,4,20115332,6922,1,2,2,2,6,3,1,12,3,3,1,0.1667,1,3,2,2,0.1667,2
672,3095,1,6973035,2253,2,1,4,1,7,0,0,3,3,0,10,0.1778,0,2,1,1,0.1245,1
2335,1985,3,12890590,6494,1,3,2,3,7,0,5,18,1,0,4,0.6667,0,1,1,0,0.4667,2
4811,3735,4,11787660,3156,1,3,5,1,8,0,0,11,2,6,1,0.1667,0,2,2,2,0.1667,1
2531,3427,3,12361189,3607,3,1,4,3,9,0,5,17,0,9,10,0.1778,0,0,2,1,0.1778,1
4637,2853,2,2385108,836,3,2,1,1,4,3,3,12,1,1,1,0.1667,0,2,2,1,0.1667,1
2201,2808,5,6857136,2442,1,2,1,1,4,0,2,16,2,5,5,0.7556,2,4,3,0,0.9823,2
1005,2590,4,6436150,2485,0,3,4,3,9,1,0,11,1,6,8,0.5111,0,1,2,0,0.5111,2
733,3538,4,14364280,4060,1,0,5,3,10,2,1,10,2,8,4,0.6667,0,5,1,0,0.4667,2
2585,1192,5,2441216,2048,1,0,6,1,9,3,5,18,3,9,2,0.3333,0,2,2,1,0.3333,2
3129,3863,5,7679644,1988,1,3,4,1,7,0,3,18,3,12,5,0.7556,0,0,2,0,0.7556,2
3094,789,5,446574,566,2,1,4,3,9,1,2,15,2,0,10,0.1778,0,1,1,0,0.1245,2
1289,1676,1,936884,559,2,2,3,1,6,0,0,4,3,4,2,0.3333,1,5,3,0,0.4333,2
2238,1975,1,13029075,6597,0,2,4,1,7,3,3,10,3,6,5,0.7556,0,0,2,1,0.7556,2
1367,2444,3,3042780,1245,2,2,6,2,10,3,4,16,0,9,1,0.1667,0,2,2,1,0.1667,1
3308,3097,2,15989811,5163,3,2,1,1,4,0,4,14,1,3,12,0.0,1,0,2,1,0.0,1
1064,3442,1,14690456,4268,3,2,5,4,11,2,4,12,1,1,11,0.0889,0,3,2,2,0.0889,1
4404,1859,5,8506784,4576,1,1,2,1,5,0,0,11,0,0,8,0.5111,0,0,1,0,0.3578,1
1720,3481,2,11678755,3355,1,3,5,4,11,3,2,11,2,8,12,0.0,0,1,1,0,0.0,1
2748,1431,5,6367950,4450,3,0,3,1,6,2,4,18,2,0,1,0.1667,0,0,1,0,0.1167,1
965,3699,3,1616463,437,3,2,3,4,9,2,2,12,2,6,7,0.6778,0,1,2,0,0.6778,2
2173,1391,4,6559956,4716,0,2,1,1,4,3,1,12,2,2,2,0.3333,1,5,3,0,0.4333,2
4912,777,2,2912973,3749,1,0,4,3,9,3,1,6,1,6,12,0.0,0,3,2,2,0.0,1
1122,921,1,747852,812,3,1,1,1,4,2,2,7,1,6,8,0.5111,0,4,2,0,0.5111,1
3843,3759,3,4315332,1148,1,0,5,3,10,3,1,8,3,4,11,0.0889,1,1,2,0,0.0889,1
4068,3469,5,30763092,8868,1,3,6,3,11,1,3,18,3,1,7,0.6778,0,4,2,0,0.6778,2
4137,1169,5,1981455,1695,0,2,3,2,7,3,2,16,2,10,9,0.3444,0,0,2,0,0.3444,2
1114,1102,3,4847698,4399,2,0,4,3,9,1,0,6,3,6,2,0.3333,0,3,2,2,0.3333,1
1884,914,1,649854,711,3,3,2,2,6,2,2,9,0,7,9,0.3444,0,2,2,1,0.3444,2
3147,3379,2,11873806,3514,1,1,4,1,7,1,5,15,1,9,10,0.1778,0,4,2,0,0.1778,1
4495,3682,5,6885340,1870,1,3,5,4,11,2,3,18,1,11,8,0.5111,2,5,3,0,0.6644,2
3052,2649,4,5030451,1899,3,0,4,1,7,0,3,14,0,7,1,0.1667,0,2,2,1,0.1667,1
4559,3213,2,12328281,3837,1,1,4,4,10,2,2,9,0,7,2,0.3333,0,1,2,0,0.3333,1
3574,1267,3,4847542,3826,3,0,6,3,11,3,0,6,2,2,4,0.6667,1,1,2,1,0.6667,2
1619,1541,5,3733843,2423,0,0,4,4,10,1,2,14,2,5,11,0.0889,2,5,3,0,0.1156,2
1436,1928,4,14672080,7610,0,1,3,1,6,1,2,13,0,7,7,0.6778,0,1,2,0,0.6778,2
4586,1849,3,1588291,859,1,1,5,1,8,2,4,15,3,10,5,0.7556,0,0,2,0,0.7556,2
3578,1040,1,8291920,7973,3,1,6,2,10,0,3,9,3,1,10,0.1778,0,1,2,0,0.1778,1
2031,1275,2,1535100,1204,1,1,3,3,8,3,3,11,1,3,3,0.5,1,0,2,1,0.5,2
1181,1979,1,7761638,3922,0,3,3,4,9,3,1,7,1,7,4,0.6667,0,0,2,0,0.6667,1
1271,3674,4,31787448,8652,3,2,5,2,9,3,1,12,3,9,8,0.5111,0,2,2,1,0.5111,2
4270,2153,5,7307282,3394,3,0,3,1,6,2,4,18,3,12,2,0.3333,0,2,2,1,0.3333,2
1197,3462,1,13906854,4017,0,3,5,2,9,0,3,11,1,6,10,0.1778,0,3,2,2,0.1778,1
4893,3057,1,9436959,3087,1,0,2,2,6,0,0,2,1,0,11,0.0889,0,1,1,0,0.0622,0
943,1717,4,5808611,3383,2,1,3,3,8,2,0,9,3,4,11,0.0889,1,4,2,0,0.0889,2
3391,2660,4,5498220,2067,3,1,5,1,8,2,1,11,3,9,1,0.1667,0,0,2,1,0.1667,1
2177,1411,3,2126377,1507,1,2,1,3,6,3,1,10,2,9,12,0.0,0,0,2,1,0.0,1
1075,1720,4,1608200,935,0,0,1,3,6,3,5,18,3,6,5,0.7556,0,3,2,2,0.7556,2
3524,658,3,2047696,3112,1,2,6,1,9,3,3,14,0,0,4,0.6667,0,4,2,0,0.6667,2
2907,3437,3,6609351,1923,3,0,3,2,7,3,0,6,2,6,2,0.3333,0,1,2,0,0.3333,1
1725,1929,3,2364954,1226,2,3,5,1,8,2,2,13,0,0,11,0.0889,0,2,1,1,0.0622,1
4147,3948,1,8879052,2249,3,1,6,3,11,1,3,9,3,13,12,0.0,0,4,2,0,0.0,1
1754,987,4,2800119,2837,1,1,5,4,11,3,1,11,1,8,5,0.7556,0,5,1,0,0.5289,2
1698,3400,1,4239800,1247,0,3,6,3,11,2,2,9,2,0,9,0.3444,0,2,1,1,0.2411,1
755,1470,1,5068560,3448,3,3,3,4,9,0,1,7,0,2,4,0.6667,1,1,2,1,0.6667,2
3973,2419,4,5749963,2377,0,2,3,4,9,0,4,18,2,3,12,0.0,1,2,2,2,0.0,2
3197,541,4,1435273,2653,0,3,3,3,8,1,5,18,2,0,5,0.7556,0,2,1,1,0.5289,2
2350,1061,1,2544278,2398,2,1,3,2,7,2,2,7,0,10,12,0.0,0,4,2,0,0.0,0
2131,1186,4,2640036,2226,1,3,5,1,8,1,3,17,3,3,1,0.1667,1,2,2,2,0.1667,2
2362,3448,3,28266704,8198,1,1,4,3,9,0,3,13,3,10,9,0.3444,0,4,2,0,0.3444,2
3124,1485,1,1144935,771,3,1,3,3,8,3,5,13,1,7,8,0.5111,0,0,2,0,0.5111,2
2644,3672,5,5720976,1558,0,3,1,2,5,2,0,13,3,6,5,0.7556,0,2,2,2,0.7556,2
1126,2296,3,11238920,4895,1,3,6,4,12,0,4,17,2,6,10,0.1778,0,3,2,2,0.1778,2
1371,1829,4,826708,452,0,2,4,2,8,1,1,12,2,9,6,0.8444,0,4,2,0,0.8444,2
4393,2336,5,6169376,2641,3,1,3,4,9,1,2,15,3,6,5,0.7556,0,2,2,2,0.7556,2
2055,3196,4,4282640,1340,3,0,5,2,9,0,0,8,1,0,11,0.0889,0,4,2,0,0.0889,1
4428,2368,2,4887552,2064,2,1,1,1,4,1,4,13,0,7,2,0.3333,0,0,2,0,0.3333,1
2117,1306,5,5814312,4452,2,1,1,4,7,0,3,17,2,6,12,0.0,0,1,2,0,0.0,1
3972,3049,4,20370369,6681,1,0,1,3,6,3,5,18,2,8,11,0.0889,0,0,0,0,0.0356,1
4633,1747,1,3420626,1958,2,3,5,3,10,1,3,11,3,9,1,0.1667,0,0,2,1,0.1667,1
4468,504,2,380016,754,1,2,5,2,9,2,5,16,1,1,2,0.3333,0,2,2,1,0.3333,2
4185,2028,3,4826640,2380,3,1,2,1,5,3,0,7,1,6,5,0.7556,0,0,2,1,0.7556,1
1836,973,1,1997569,2053,2,2,1,2,5,0,3,10,0,8,5,0.7556,0,1,1,0,0.5289,1
3859,3835,2,8210735,2141,3,2,4,4,10,2,0,6,2,0,11,0.0889,0,2,1,1,0.0622,1
2235,1803,1,766275,425,3,2,4,1,7,1,3,10,0,11,4,0.6667,2,5,3,0,0.8667,2
3528,2229,5,5347371,2399,3,1,4,4,10,3,3,17,1,6,9,0.3444,0,0,2,1,0.3444,1
4015,842,3,946408,1124,2,0,2,3,7,3,5,16,1,12,5,0.7556,0,0,2,0,0.7556,2
1510,644,2,1156624,1796,0,1,5,2,9,0,3,11,0,6,5,0.7556,0,4,2,0,0.7556,1
4772,458,4,431436,942,0,0,6,4,12,3,4,16,0,6,7,0.6778,0,0,2,1,0.6778,2
1546,3346,2,8057168,2408,1,3,3,2,7,0,0,7,0,4,3,0.5,1,0,2,1,0.5,1
2227,2382,5,4194702,1761,2,0,2,3,7,2,3,16,2,9,9,0.3444,0,0,2,1,0.3444,2
3434,564,5,2373312,4208,3,3,1,1,4,0,3,18,1,2,12,0.0,1,0,2,1,0.0,2
4230,3611,5,2693806,746,1,2,4,1,7,2,0,12,3,3,11,0.0889,1,1,2,1,0.0889,2
3267,2171,4,3820960,1760,3,1,2,4,8,2,5,18,2,2,10,0.1778,1,4,2,0,0.1778,2
4425,3936,3,3652608,928,0,1,2,4,8,2,2,11,2,9,7,0.6778,0,1,2,0,0.6778,2
2463,515,5,2489510,4834,0,0,1,4,7,0,2,14,2,11,5,0.7556,2,5,3,0,0.9823,2
3367,1537,5,2605215,1695,1,2,6,2,10,2,1,14,3,3,4,0.6667,1,0,2,1,0.6667,2
1909,456,3,200640,440,2,1,2,1,5,3,5,17,2,0,4,0.6667,0,1,1,0,0.4667,2
2367,1047,5,2390301,2283,3,3,1,4,7,0,2,17,1,0,5,0.7556,0,4,2,0,0.7556,2
1013,2414,3,14698846,6089,2,3,6,4,12,2,4,17,0,8,1,0.1667,0,0,0,0,0.0667,1
3022,561,2,1067583,1903,3,3,4,2,8,1,1,9,1,5,3,0.5,2,5,3,0,0.65,2
1838,1373,3,3207328,2336,1,0,5,3,10,2,0,6,0,7,12,0.0,0,2,2,1,0.0,1
1904,3173,1,3061945,965,2,2,6,2,10,3,1,6,3,7,1,0.1667,0,1,2,0,0.1667,1
1611,452,4,1791728,3964,0,2,2,4,8,2,5,18,1,1,8,0.5111,0,2,2,1,0.5111,2
1864,3465,5,23752575,6855,1,1,6,2,10,3,0,11,2,7,5,0.7556,0,0,2,0,0.7556,2
1267,1032,1,7916472,7671,2,2,3,2,7,0,3,10,3,9,12,0.0,0,2,2,1,0.0,1
