plot_size_sqft,building_size_sqft,num_floors,planned_duration_months,plot_shape_code,topography_code,design_complexity_score,customization_level,site_difficulty_score,kerala_district_code,construction_start_month,monsoon_exposure_score,district_risk_tier,terrain_code,rainfall_code,flood_risk_code,effective_monsoon_score,time_delay_risk
4023,3593,4,24,1,2,18,4,4,6,2,0.3333,0,1,2,0,0.3333,1
1576,3726,5,16,0,1,11,0,3,13,7,0.6778,0,4,2,0,0.6778,2
1287,2729,5,20,0,3,18,4,7,1,11,0.0889,0,3,2,2,0.0889,2
944,2129,5,6,2,0,18,5,3,4,6,0.8444,1,5,3,0,1.0,2
2893,3476,5,9,1,2,12,0,5,3,2,0.3333,1,2,2,2,0.3333,2
1653,1963,4,29,3,3,18,4,8,2,11,0.0889,1,4,2,0,0.0889,2
1741,707,4,33,2,3,17,3,8,2,4,0.6667,1,1,2,1,0.6667,2
4067,1894,2,9,3,2,14,4,5,9,5,0.7556,0,1,2,0,0.7556,2
1267,993,3,26,0,3,17,4,6,9,9,0.3444,0,0,2,1,0.3444,2
2627,578,3,17,1,3,13,2,9,3,2,0.3333,1,0,2,1,0.3333,2
2126,2577,1,36,0,1,3,0,4,10,5,0.7556,0,4,2,0,0.7556,2
4195,2173,1,14,3,1,9,3,4,10,6,0.8444,0,2,2,1,0.8444,2
1406,2883,4,6,2,2,18,5,7,4,1,0.1667,1,1,2,0,0.1667,2
2267,3584,4,16,1,2,10,0,5,9,6,0.8444,0,0,2,1,0.8444,2
2271,937,5,26,2,3,15,1,7,2,7,0.6778,1,4,2,0,0.6778,2
1088,3506,2,10,1,0,4,0,3,10,12,0.0,0,2,2,1,0.0,1
3856,2908,1,17,1,1,13,5,4,11,12,0.0,2,4,3,0,0.0,2
2671,731,2,24,3,1,13,4,5,9,5,0.7556,0,4,2,0,0.7556,2
4644,500,2,15,3,0,8,2,1,7,4,0.6667,0,2,2,1,0.6667,2
3533,2105,2,13,2,3,15,4,8,0,7,0.6778,0,2,1,1,0.4745,2
844,3866,4,35,1,0,8,0,1,4,11,0.0889,1,3,2,2,0.0889,2
4763,2771,3,9,1,1,7,0,5,7,4,0.6667,0,2,2,1,0.6667,2
1749,1459,2,13,0,3,11,2,8,2,9,0.3444,1,1,2,1,0.3444,2
1707,2474,2,28,2,0,6,1,0,1,4,0.6667,0,4,2,0,0.6667,2
4909,1579,2,12,2,0,4,0,1,1,12,0.0,0,4,2,0,0.0,1
942,2066,1,12,1,2,4,0,4,6,8,0.5111,0,4,2,0,0.5111,1
2014,1409,2,36,1,0,14,5,0,8,11,0.0889,0,4,1,0,0.0622,0
3703,1056,2,36,0,1,7,1,4,0,1,0.1667,0,4,2,0,0.1667,1
3107,2600,5,13,0,2,16,2,7,12,9,0.3444,0,1,2,0,0.3444,2
3242,2788,4,16,0,2,10,0,5,13,12,0.0,0,2,2,1,0.0,2
2039,581,1,18,3,3,9,2,7,11,2,0.3333,2,4,3,0,0.4333,2
4778,1688,5,16,3,0,18,5,1,13,5,0.7556,0,0,2,0,0.7556,2
2202,1601,3,21,0,0,8,1,0,12,9,0.3444,0,0,2,0,0.3444,1
3248,3698,5,27,2,2,16,2,6,7,1,0.1667,0,0,2,0,0.1667,1
1779,2134,5,28,1,1,11,0,4,6,6,0.8444,0,2,2,2,0.8444,2
4896,1210,3,16,2,0,10,2,0,9,9,0.3444,0,2,2,1,0.3444,1
3553,3970,1,22,0,0,6,2,2,6,12,0.0,0,2,2,2,0.0,0
3023,2813,4,14,3,3,15,2,7,8,4,0.6667,0,1,1,0,0.4667,2
4875,2579,2,6,3,2,12,3,7,11,8,0.5111,2,5,3,0,0.6644,2
2892,1183,3,7,1,0,10,2,2,6,4,0.6667,0,0,2,1,0.6667,2
2729,1281,1,17,3,1,13,5,5,4,12,0.0,1,4,2,0,0.0,1
3343,3828,3,25,2,2,12,2,4,8,5,0.7556,0,0,0,0,0.3022,2
4569,876,2,5,3,1,11,3,2,1,2,0.3333,0,3,2,2,0.3333,2
3123,3189,4,18,1,0,12,2,2,13,7,0.6778,0,1,2,0,0.6778,2
4941,3637,1,14,1,0,12,5,0,0,4,0.6667,0,1,1,0,0.4667,2
1877,1532,3,8,1,3,17,4,7,3,12,0.0,1,3,2,2,0.0,2
4122,2032,5,12,3,2,18,3,6,9,7,0.6778,0,2,2,1,0.6778,2
4272,2927,1,10,3,1,7,2,5,10,2,0.3333,0,2,2,1,0.3333,2
1671,3749,3,35,2,3,9,0,6,2,1,0.1667,1,1,2,1,0.1667,1
3683,1968,3,23,0,3,11,1,8,11,5,0.7556,2,5,3,0,0.9823,2
2914,1863,1,23,2,0,10,4,1,6,4,0.6667,0,2,2,2,0.6667,2
1879,1977,5,17,3,0,12,1,1,10,3,0.5,0,1,2,0,0.5,2
3424,1671,4,12,0,1,9,0,2,4,11,0.0889,1,5,3,0,0.1156,2
615,1927,3,31,3,3,11,1,8,5,1,0.1667,2,5,3,0,0.2167,2
2615,2748,3,18,1,1,11,2,3,5,8,0.5111,2,5,3,0,0.6644,2
4254,1882,5,26,2,0,10,0,0,4,3,0.5,1,3,2,2,0.5,2
4995,1648,2,25,3,3,15,4,7,12,7,0.6778,0,2,2,1,0.6778,2
3394,1810,4,8,0,3,18,4,9,2,8,0.5111,1,4,2,0,0.5111,2
4815,2238,1,22,0,3,7,1,6,12,12,0.0,0,0,2,0,0.0,0
3790,723,4,6,3,0,16,4,3,11,12,0.0,2,5,3,0,0.0,2
667,1573,1,21,2,0,10,4,0,2,3,0.5,1,4,2,0,0.5,2
4938,2335,2,25,2,0,4,0,1,0,2,0.3333,0,2,1,1,0.2333,1
4053,1766,2,16,2,2,6,0,7,0,4,0.6667,0,1,1,0,0.4667,2
4010,2566,2,26,3,3,11,2,9,0,1,0.1667,0,2,1,1,0.1167,1
1999,533,4,36,3,2,18,5,7,4,12,0.0,1,5,3,0,0.0,2
1753,3223,2,18,2,2,6,0,7,10,10,0.1778,0,4,2,0,0.1778,1
835,1508,5,3,2,1,18,5,5,10,9,0.3444,0,1,2,0,0.3444,2
1526,2126,2,17,0,3,17,5,7,6,1,0.1667,0,2,2,2,0.1667,1
4513,1038,1,12,2,1,9,3,4,7,7,0.6778,0,1,2,0,0.6778,2
4416,3491,1,8,3,0,4,1,1,7,11,0.0889,0,0,2,0,0.0889,1
646,3005,4,10,2,1,15,3,4,6,1,0.1667,0,3,2,2,0.1667,2
2738,714,1,18,1,1,7,2,4,10,11,0.0889,0,2,2,1,0.0889,1
773,435,2,10,1,2,16,5,4,9,5,0.7556,0,0,2,1,0.7556,2
3373,3766,5,13,2,1,13,1,4,4,8,0.5111,1,1,2,0,0.5111,2
908,553,4,31,0,1,9,0,5,1,10,0.1778,0,3,2,2,0.1778,2
605,2228,3,6,2,1,7,0,3,3,1,0.1667,1,2,2,2,0.1667,2
1817,2713,3,16,3,0,10,2,3,3,10,0.1778,1,0,2,1,0.1778,1
3309,864,1,11,1,2,8,2,5,7,10,0.1778,0,4,3,0,0.2311,1
4939,2885,3,22,0,0,14,4,2,7,2,0.3333,0,2,2,1,0.3333,1
3011,1427,5,19,0,1,18,4,5,12,11,0.0889,0,0,2,0,0.0889,1
2354,3296,2,12,2,2,10,2,7,3,11,0.0889,1,3,2,2,0.0889,2
2928,2514,5,10,0,1,18,4,2,8,6,0.8444,0,0,0,0,0.3378,2
3316,3220,3,25,2,0,16,5,3,6,5,0.7556,0,2,2,2,0.7556,2
1061,2151,2,26,0,0,14,5,2,7,2,0.3333,0,1,2,0,0.3333,1
3329,1377,2,15,3,1,7,1,3,6,3,0.5,0,2,2,2,0.5,2
2708,3490,4,27,2,0,16,4,2,9,1,0.1667,0,1,2,0,0.1667,1
1208,1011,5,3,0,0,18,4,2,1,4,0.6667,0,3,2,2,0.6667,2
2046,3413,1,8,3,0,12,5,1,9,7,0.6778,0,2,2,1,0.6778,2
3854,786,5,18,2,3,18,4,9,1,9,0.3444,0,1,2,0,0.3444,2
2466,1452,5,12,1,2,18,4,4,11,8,0.5111,2,5,3,0,0.6644,2
1056,1472,4,28,1,3,18,5,7,13,11,0.0889,0,0,2,0,0.0889,1
2242,1417,4,12,2,3,13,1,9,3,4,0.6667,1,2,2,2,0.6667,2
4083,554,5,22,1,0,12,1,2,10,1,0.1667,0,2,2,1,0.1667,1
687,1929,5,9,1,0,10,0,1,9,2,0.3333,0,0,2,1,0.3333,2
3049,557,1,9,1,3,5,0,9,12,10,0.1778,0,2,2,1,0.1778,1
3322,2026,3,26,1,2,10,1,6,3,1,0.1667,1,3,2,2,0.1667,2
4059,2769,5,12,1,1,13,1,3,6,1,0.1667,0,1,2,0,0.1667,1
2512,2865,5,23,1,2,16,2,5,0,5,0.7556,0,1,1,0,0.5289,2
3863,2535,2,17,1,0,10,3,3,3,9,0.3444,1,2,2,2,0.3444,2
3135,1813,4,18,3,3,15,2,8,6,12,0.0,0,0,2,1,0.0,1
4678,3496,4,6,3,2,18,5,4,7,8,0.5111,0,1,2,0,0.5111,2
1177,2408,2,10,3,1,9,2,5,7,9,0.3444,0,1,2,0,0.3444,2
2187,1484,3,10,2,3,11,1,8,1,9,0.3444,0,3,2,2,0.3444,2
1706,3827,3,23,0,1,15,4,5,9,4,0.6667,0,2,2,1,0.6667,2
3733,3917,3,29,2,3,18,5,9,4,1,0.1667,1,0,2,1,0.1667,2
3480,2078,2,27,1,1,13,4,5,6,11,0.0889,0,1,2,0,0.0889,0
4099,2011,3,23,0,2,12,2,5,8,9,0.3444,0,1,1,0,0.2411,1
4363,3448,2,28,3,2,10,2,5,0,2,0.3333,0,1,1,0,0.2333,1
3511,2223,5,10,0,1,11,0,5,6,12,0.0,0,4,2,0,0.0,1
2229,3530,2,17,0,1,11,3,3,8,3,0.5,0,1,1,0,0.35,1
3322,2215,3,14,0,3,13,2,9,0,11,0.0889,0,1,1,0,0.0622,1
2915,3062,3,28,1,3,9,0,6,7,6,0.8444,0,4,3,0,1.0,2
934,2291,3,30,3,1,7,0,3,7,1,0.1667,0,4,3,0,0.2167,1
3995,1129,4,10,3,2,12,1,4,0,6,0.8444,0,1,1,0,0.5911,2
3643,2590,3,10,2,1,9,1,2,3,2,0.3333,1,1,2,1,0.3333,2
3872,1744,2,11,1,3,17,5,9,11,9,0.3444,2,4,3,0,0.4477,2
3175,3087,1,17,1,0,10,4,2,5,10,0.1778,2,4,3,0,0.2311,2
3478,479,4,19,3,2,10,0,5,0,9,0.3444,0,4,2,0,0.3444,2
1193,2663,3,8,2,3,13,2,6,6,9,0.3444,0,2,2,2,0.3444,2
4700,2682,5,13,2,2,16,2,4,4,8,0.5111,1,1,2,0,0.5111,2
2651,2981,4,30,2,1,17,4,2,10,9,0.3444,0,0,2,0,0.3444,1
4413,3304,3,19,0,2,18,5,4,9,11,0.0889,0,0,2,1,0.0889,1
2688,1084,5,18,1,1,18,4,3,1,6,0.8444,0,4,2,0,0.8444,2
4628,2036,2,22,2,0,8,2,3,8,2,0.3333,0,0,0,0,0.1333,0
2041,2666,1,6,1,2,4,0,4,6,1,0.1667,0,1,2,0,0.1667,1
999,3318,2,26,0,2,12,3,6,6,12,0.0,0,1,2,0,0.0,0
3610,549,1,11,2,3,7,1,6,9,12,0.0,0,4,2,0,0.0,1
3060,2450,5,8,3,0,10,0,3,6,9,0.3444,0,0,2,1,0.3444,2
1115,2928,5,25,3,3,13,0,7,9,2,0.3333,0,1,2,0,0.3333,2
2541,2935,2,10,2,2,12,3,7,5,10,0.1778,2,4,3,0,0.2311,2
3280,3048,4,31,0,0,18,5,1,0,2,0.3333,0,4,2,0,0.3333,2
1166,646,4,10,0,1,9,0,4,12,5,0.7556,0,1,2,0,0.7556,2
1691,3224,3,18,2,2,8,0,5,6,12,0.0,0,0,2,1,0.0,1
2982,1704,5,19,1,2,18,4,7,3,11,0.0889,1,3,2,2,0.0889,2
4438,3674,5,28,3,1,18,5,5,9,4,0.6667,0,1,2,0,0.6667,2
2766,1926,4,27,2,2,14,2,4,8,12,0.0,0,0,0,0,0.0,0
3934,1474,1,17,2,3,15,5,6,9,12,0.0,0,1,2,0,0.0,1
2559,2628,3,14,0,0,8,1,0,3,3,0.5,1,2,2,2,0.5,2
4732,2203,5,33,0,3,18,3,6,12,2,0.3333,0,2,2,1,0.3333,2
3652,904,5,23,2,1,18,5,4,0,11,0.0889,0,4,2,0,0.0889,1
1184,1836,5,16,0,2,18,4,6,7,6,0.8444,0,1,2,0,0.8444,2
1487,3395,3,21,0,2,14,3,6,4,3,0.5,1,5,3,0,0.65,2
3355,2054,3,14,3,1,15,4,2,7,1,0.1667,0,0,2,0,0.1667,1
1724,2991,3,17,0,0,12,3,3,4,6,0.8444,1,5,3,0,1.0,2
2123,3161,1,28,2,1,5,1,4,2,2,0.3333,1,4,2,0,0.3333,2
3972,1843,2,10,1,3,15,4,7,7,5,0.7556,0,0,2,0,0.7556,2
1626,1333,2,16,0,2,16,5,4,2,4,0.6667,1,4,2,0,0.6667,2
2864,1933,2,13,0,3,15,4,6,13,12,0.0,0,0,2,0,0.0,1
4322,3726,5,24,3,1,17,3,4,4,1,0.1667,1,0,2,1,0.1667,2
2646,994,5,9,1,0,18,5,3,8,10,0.1778,0,0,0,0,0.0711,1
2925,1404,1,14,1,2,12,4,6,6,2,0.3333,0,3,2,2,0.3333,1
4092,2325,5,26,0,2,18,3,4,7,12,0.0,0,2,2,1,0.0,1
4315,825,2,15,3,0,8,2,0,2,5,0.7556,1,1,2,1,0.7556,2
3774,1137,5,13,2,2,18,5,7,7,5,0.7556,0,0,2,0,0.7556,2
2134,2895,5,9,3,3,18,4,6,11,3,0.5,2,5,3,0,0.65,2
1403,2469,1,19,0,3,9,2,8,3,8,0.5111,1,3,2,2,0.5111,2
3830,542,2,8,0,0,8,2,3,0,3,0.5,0,0,1,0,0.35,1
4088,2594,1,29,1,0,2,0,2,9,12,0.0,0,4,2,0,0.0,0
3565,3534,1,13,2,0,2,0,3,0,4,0.6667,0,2,1,1,0.4667,2
4269,2500,5,10,2,0,10,0,3,9,11,0.0889,0,4,2,0,0.0889,2
1923,404,3,32,2,2,18,5,6,9,6,0.8444,0,4,2,0,0.8444,2
1224,3755,3,10,2,3,15,3,7,4,8,0.5111,1,5,3,0,0.6644,2
895,3417,4,33,3,2,18,4,4,8,9,0.3444,0,1,1,0,0.2411,1
3020,3635,5,10,3,2,16,2,6,4,9,0.3444,1,5,3,0,0.4477,2
944,3482,4,21,1,3,18,5,7,2,8,0.5111,1,5,3,0,0.6644,2
2096,3479,2,36,3,2,14,4,6,11,2,0.3333,2,1,2,0,0.3333,2
4886,1329,2,22,3,2,6,0,6,12,4,0.6667,0,0,2,0,0.6667,2
2870,1157,1,23,2,3,15,5,6,6,3,0.5,0,1,2,0,0.5,1
682,1800,3,23,1,3,9,0,8,13,1,0.1667,0,1,2,0,0.1667,1
4927,1544,1,11,3,0,8,3,2,12,2,0.3333,0,0,2,0,0.3333,1
3502,936,3,26,2,2,8,0,7,0,9,0.3444,0,1,1,0,0.2411,1
2093,3320,5,16,3,1,11,0,4,10,10,0.1778,0,0,2,0,0.1778,1
1237,866,2,17,0,1,9,2,4,8,12,0.0,0,1,1,0,0.0,0
2253,3637,5,12,1,1,18,5,5,11,5,0.7556,2,1,2,0,0.7556,2
2917,976,3,16,3,3,17,4,8,3,4,0.6667,1,2,2,2,0.6667,2
4457,2299,2,15,3,0,12,4,1,6,2,0.3333,0,1,2,0,0.3333,1
3037,579,5,18,3,2,18,3,4,8,12,0.0,0,0,0,0,0.0,0
2512,2946,4,11,2,2,16,3,5,6,3,0.5,0,0,2,1,0.5,2
1544,1678,2,17,2,3,7,0,8,4,4,0.6667,1,3,2,2,0.6667,2
3250,639,3,5,3,2,14,3,5,12,11,0.0889,0,0,2,0,0.0889,1
2408,1610,4,31,3,0,12,2,3,10,10,0.1778,0,4,2,0,0.1778,1
1097,2684,5,15,2,2,18,3,7,7,5,0.7556,0,4,3,0,0.9823,2
1088,803,3,11,2,1,9,1,5,1,4,0.6667,0,1,2,0,0.6667,2
2149,582,3,18,0,2,14,3,4,3,6,0.8444,1,2,2,2,0.8444,2
3030,568,3,11,1,2,18,5,6,0,3,0.5,0,1,1,0,0.35,2
4803,1638,5,15,1,1,17,3,4,9,8,0.5111,0,4,2,0,0.5111,2
2458,2523,2,10,0,1,5,0,2,9,9,0.3444,0,0,2,1,0.3444,2
4305,2207,1,16,2,3,13,4,6,3,11,0.0889,1,3,2,2,0.0889,2
2997,3296,2,30,2,0,14,5,0,6,1,0.1667,0,0,2,1,0.1667,0
4776,2385,1,17,3,3,15,5,6,6,2,0.3333,0,2,2,2,0.3333,1
1845,1197,3,6,1,3,15,3,9,6,10,0.1778,0,0,2,1,0.1778,1
923,2859,5,17,2,3,18,4,6,0,2,0.3333,0,4,2,0,0.3333,2
3224,1263,4,28,0,3,11,0,9,9,6,0.8444,0,0,2,1,0.8444,2
1349,3143,2,11,1,3,13,3,8,12,9,0.3444,0,0,2,0,0.3444,2
2033,862,1,31,0,2,6,1,7,7,2,0.3333,0,0,2,0,0.3333,1
2642,1687,5,13,3,0,12,1,2,7,9,0.3444,0,2,2,1,0.3444,2
1691,1382,5,17,1,3,18,4,6,1,2,0.3333,0,1,2,0,0.3333,2
1355,1175,5,35,0,0,18,4,1,1,9,0.3444,0,3,2,2,0.3444,2
903,2352,2,27,1,0,6,1,0,9,6,0.8444,0,2,2,1,0.8444,2
3520,2118,5,26,2,2,18,5,6,12,11,0.0889,0,1,2,0,0.0889,1
4247,2692,5,15,2,0,10,0,2,7,10,0.1778,0,1,2,0,0.1778,1
3262,1656,3,11,3,3,17,4,7,6,5,0.7556,0,0,2,1,0.7556,2
1643,2146,4,6,0,3,13,1,9,8,11,0.0889,0,0,0,0,0.0356,1
3491,515,5,20,2,1,18,5,5,0,9,0.3444,0,1,1,0,0.2411,1
1928,2697,2,20,1,3,9,1,8,2,2,0.3333,1,1,2,1,0.3333,2
1128,897,5,16,2,2,16,2,6,2,4,0.6667,1,1,2,1,0.6667,2
3963,2969,3,6,1,1,15,4,4,10,11,0.0889,0,2,2,1,0.0889,2
4709,3346,1,26,1,1,9,3,3,11,9,0.3444,2,5,3,0,0.4477,2
3726,966,2,18,2,0,6,1,2,1,7,0.6778,0,3,2,2,0.6778,2
2168,1955,5,3,2,3,18,4,9,2,12,0.0,1,4,2,0,0.0,2
4781,3427,4,10,2,3,17,3,8,8,10,0.1778,0,1,1,0,0.1245,2
3255,2887,1,22,3,2,10,3,4,3,10,0.1778,1,3,2,2,0.1778,2
1477,1185,5,10,2,3,18,4,9,2,7,0.6778,1,4,2,0,0.6778,2
2623,3596,1,28,1,1,13,5,4,7,11,0.0889,0,2,2,1,0.0889,1
3185,1102,1,18,2,0,2,0,2,0,2,0.3333,0,0,1,0,0.2333,1
3165,3216,5,22,0,2,14,1,4,2,6,0.8444,1,4,2,0,0.8444,2
4067,3349,5,22,0,3,18,4,8,10,9,0.3444,0,4,2,0,0.3444,2
660,3975,5,21,2,2,18,4,7,4,7,0.6778,1,1,2,0,0.6778,2
797,1576,4,10,0,1,13,2,3,6,3,0.5,0,2,2,2,0.5,2
2850,975,3,27,0,3,11,1,8,3,4,0.6667,1,3,2,2,0.6667,2
4999,2632,1,10,1,1,11,4,5,13,2,0.3333,0,4,2,0,0.3333,2
2276,607,1,10,1,1,11,4,2,1,2,0.3333,0,4,2,0,0.3333,1
3202,3873,2,11,1,1,15,5,3,10,1,0.1667,0,0,2,0,0.1667,1
3546,412,5,19,0,3,18,3,6,12,10,0.1778,0,1,2,0,0.1778,1
1576,1149,4,6,0,0,12,2,0,0,4,0.6667,0,1,1,0,0.4667,2
3807,1162,4,3,2,1,13,2,4,0,12,0.0,0,2,1,1,0.0,2
4890,1837,2,13,0,1,11,3,2,9,12,0.0,0,0,2,1,0.0,1
3870,634,2,10,1,3,11,2,6,0,1,0.1667,0,1,1,0,0.1167,1
2131,804,4,4,0,0,8,0,2,12,11,0.0889,0,2,2,1,0.0889,2
4194,1925,1,14,3,2,6,1,4,5,12,0.0,2,5,3,0,0.0,2
1074,3221,5,17,3,1,18,4,3,9,1,0.1667,0,0,2,1,0.1667,1
782,1338,2,18,0,2,12,3,4,2,4,0.6667,1,4,2,0,0.6667,2
4080,1124,4,22,1,1,17,4,5,7,7,0.6778,0,1,2,0,0.6778,2
4300,3339,3,24,3,3,9,0,6,7,10,0.1778,0,0,2,0,0.1778,1
1241,1005,1,19,1,0,6,2,2,1,12,0.0,0,2,2,1,0.0,0
3040,1573,4,35,3,3,18,4,7,0,12,0.0,0,2,1,1,0.0,1
4229,3988,5,22,2,3,18,3,6,0,4,0.6667,0,2,1,1,0.4667,2
1947,1616,5,30,1,3,15,1,6,3,2,0.3333,1,3,2,2,0.3333,2
1248,2623,3,27,3,3,9,0,9,11,2,0.3333,2,5,3,0,0.4333,2
2450,1407,4,12,1,1,17,4,4,0,12,0.0,0,2,1,1,0.0,1
1370,2090,2,21,2,3,7,0,8,12,11,0.0889,0,4,2,0,0.0889,1
3659,658,1,9,2,3,11,3,8,7,4,0.6667,0,0,2,0,0.6667,2
3386,3790,2,6,1,3,17,5,7,6,7,0.6778,0,2,2,2,0.6778,2
2304,857,3,12,0,3,9,0,7,10,4,0.6667,0,2,2,1,0.6667,2
1890,3805,4,18,0,3,11,0,7,8,11,0.0889,0,1,1,0,0.0622,1
3650,2889,3,11,2,1,11,2,2,11,2,0.3333,2,5,3,0,0.4333,2
1341,1303,2,15,1,2,16,5,4,7,9,0.3444,0,1,2,0,0.3444,1
2657,3817,5,19,1,3,18,3,8,9,5,0.7556,0,2,2,1,0.7556,2
4165,866,3,20,0,3,18,5,6,6,1,0.1667,0,0,2,1,0.1667,1
1766,613,5,17,0,1,18,4,2,2,2,0.3333,1,5,3,0,0.4333,2
4550,3439,1,17,0,3,15,5,6,1,10,0.1778,0,1,2,0,0.1778,1
1029,3772,5,22,1,0,18,5,2,12,7,0.6778,0,4,2,0,0.6778,2
2888,1380,1,16,0,1,7,2,3,0,10,0.1778,0,1,1,0,0.1245,0
2082,2630,3,33,1,1,13,3,5,1,8,0.5111,0,1,2,0,0.5111,2
1042,1124,4,16,2,1,13,2,4,9,4,0.6667,0,0,2,1,0.6667,2
1728,2389,5,29,1,3,17,2,9,10,11,0.0889,0,1,2,0,0.0889,1
3063,1778,5,22,0,0,14,2,2,5,2,0.3333,2,4,3,0,0.4333,2
771,1329,2,26,1,3,13,3,6,13,1,0.1667,0,2,2,1,0.1667,1
3565,3949,4,18,3,0,12,2,0,8,8,0.5111,0,5,1,0,0.3578,2
2634,1489,5,18,2,1,18,5,2,3,6,0.8444,1,3,2,2,0.8444,2
4640,2624,4,16,2,1,11,1,5,1,8,0.5111,0,3,2,2,0.5111,2
3554,2969,1,26,3,2,14,5,5,8,7,0.6778,0,0,0,0,0.2711,1
4917,1765,2,36,0,3,15,4,7,2,7,0.6778,1,5,3,0,0.8811,2
4711,1798,4,16,3,1,11,1,3,11,1,0.1667,2,5,3,0,0.2167,2
2769,627,5,22,3,2,16,2,4,0,1,0.1667,0,1,1,0,0.1167,1
3055,931,1,18,3,0,10,4,3,4,11,0.0889,1,5,3,0,0.1156,1
2308,1126,5,16,0,2,18,4,7,6,3,0.5,0,4,2,0,0.5,2
4352,543,5,13,3,1,17,3,3,0,7,0.6778,0,2,1,1,0.4745,2
3912,3526,2,21,1,2,16,5,5,10,6,0.8444,0,2,2,1,0.8444,2
3359,3293,4,15,0,2,10,0,5,0,12,0.0,0,4,2,0,0.0,1
1600,1039,2,6,0,0,10,3,1,4,9,0.3444,1,1,2,0,0.3444,2
3542,2014,5,29,2,1,18,4,2,0,7,0.6778,0,0,1,0,0.4745,2
1466,2891,5,13,3,2,12,0,5,13,4,0.6667,0,0,2,0,0.6667,2
1661,2871,1,22,0,3,13,4,8,5,1,0.1667,2,1,2,0,0.1667,2
2454,406,4,25,1,3,17,3,8,7,5,0.7556,0,4,3,0,0.9823,2
3041,1136,4,31,1,3,18,5,8,0,12,0.0,0,4,2,0,0.0,1
2032,822,3,26,1,2,16,4,7,8,12,0.0,0,1,1,0,0.0,1
1816,3830,2,24,1,3,17,5,9,10,6,0.8444,0,1,2,0,0.8444,2
1793,538,3,18,1,1,7,0,4,6,3,0.5,0,4,2,0,0.5,2
3226,630,3,22,3,1,7,0,3,4,1,0.1667,1,1,2,0,0.1667,1
1636,742,4,20,0,2,14,2,5,4,1,0.1667,1,1,2,0,0.1667,2
1777,2138,3,21,3,0,6,0,1,5,2,0.3333,2,5,3,0,0.4333,2
2017,1278,5,13,3,1,18,4,4,0,5,0.7556,0,1,1,0,0.5289,2
2143,1218,2,30,2,1,5,0,3,0,3,0.5,0,1,1,0,0.35,1
2793,3983,5,9,2,3,15,1,6,10,8,0.5111,0,2,2,1,0.5111,2
